"","Est.","CI(95%).Lower","CI(95%).Upper"
"dataset290",3.347,0.9338,5.76
"dataset291",12.78,11.38,14.19
"dataset292",7.874,6.551,9.196
"dataset293",7.042,5.375,8.709
"dataset294",6.257,4.474,8.041
"dataset295",12.42,11.07,13.76
"dataset296",6.067,4.295,7.838
"dataset297",5.176,3.418,6.934
"dataset298",3.39,1.087,5.692
"dataset299",6.384,4.927,7.841
"dataset300",1.209,-1.14,3.558
"dataset301",11.42,10.1,12.74
"dataset302",6.531,4.67,8.392
"dataset303",2.034,-0.3496,4.417
"dataset304",6.164,4.387,7.94
"dataset305",6.277,4.954,7.6
"dataset306",12.22,10.73,13.7
"dataset307",6.262,4.794,7.73
"dataset308",6.239,4.742,7.737
"dataset309",7.875,6.404,9.346
"dataset310",6.251,3.564,8.937
"dataset311",5.993,4.468,7.518
"dataset312",6.131,4.231,8.031
"dataset313",8.311,6.289,10.33
"dataset314",12.48,11.15,13.8
"dataset315",15.73,14.4,17.06
"dataset316",10.92,9.562,12.27
"dataset317",1.604,-0.6784,3.887
"dataset318",1.072,-1.239,3.382
"dataset319",7.054,5.602,8.506
"dataset320",11.92,10.72,13.11
"dataset321",12.48,10.8,14.16
"dataset322",3.855,2.076,5.635
"dataset323",18.06,16.42,19.7
"dataset324",10.16,8.709,11.61
"dataset325",1.789,-0.6328,4.212
"dataset326",6.05,4.28,7.819
"dataset327",1.737,0.01575,3.457
"dataset328",2.722,0.2914,5.154
"dataset329",12.57,11.22,13.93
"dataset330",6.205,4.648,7.763
"dataset331",12.84,11.17,14.51
"dataset332",12.5,10.69,14.31
"dataset333",11.66,10.19,13.14
"dataset334",12.46,11.02,13.9
"dataset335",6.201,4.701,7.702
"dataset336",6.423,4.483,8.363
"dataset337",1.184,-1.187,3.554
"dataset338",8.638,7.301,9.976
"dataset339",6.636,5.075,8.196
"dataset340",12.44,10.92,13.96
"dataset341",21.13,19.84,22.43
"dataset342",6.067,4.227,7.907
"dataset343",11.77,10.27,13.28
"dataset344",12.5,11.3,13.69
"dataset345",6.259,4.645,7.874
"dataset346",12.56,10.89,14.24
"dataset347",6.129,4.352,7.906
"dataset348",4.336,2.554,6.119
"dataset349",6.875,4.857,8.892
"dataset350",12.5,11.02,13.97
"dataset351",10.05,8.371,11.74
"dataset352",1.224,-1.065,3.512
"dataset353",1.004,-1.421,3.429
"dataset354",4.565,2.157,6.974
"dataset355",12.47,11.31,13.63
"dataset356",1.2,-1.199,3.598
"dataset357",12.48,10.46,14.49
"dataset358",6.22,4.605,7.836
"dataset359",11.08,9.591,12.57
"dataset360",2.778,1.014,4.542
"dataset361",6.39,4.519,8.26
"dataset362",1.134,-1.227,3.496
"dataset363",12.44,11.14,13.73
"dataset364",1.266,-1.165,3.697
"dataset365",12.4,11.26,13.54
"dataset366",1.999,-0.3249,4.323
"dataset367",9.8,7.8,11.8
"dataset368",11.34,9.856,12.82
"dataset369",1.152,-1.158,3.462
"dataset370",6.126,3.662,8.59
"dataset371",1.431,-0.8698,3.732
"dataset372",2.877,1.104,4.649
"dataset373",12.49,11.22,13.77
"dataset374",2.708,0.2829,5.133
"dataset375",12.58,10.99,14.16
"dataset376",21.16,19.83,22.5
"dataset377",6.243,4.738,7.748
"dataset378",11.91,10.6,13.23
"dataset379",8.55,7.322,9.779
"dataset380",6.101,4.307,7.895
"dataset381",10.77,9.48,12.06
"dataset382",6.319,5.003,7.635
"dataset383",18.15,16.46,19.83
"dataset384",17.8,16.49,19.1
"dataset385",6.187,4.423,7.951
"dataset386",1.019,-1.342,3.379
"dataset387",1.536,-0.7664,3.839
"dataset388",4.963,3.198,6.729
"dataset389",6.224,4.436,8.011
"dataset390",4.653,2.231,7.075
"dataset391",6.305,4.724,7.885
"dataset392",11.13,9.945,12.31
"dataset393",12.39,11.09,13.69
"dataset394",1.965,-0.4089,4.338
"dataset395",13.78,11.84,15.72
"dataset396",1.156,-1.181,3.492
"dataset397",11.32,9.644,13
"dataset398",12.5,11.16,13.83
"dataset399",12.29,10.92,13.66
"dataset400",6.268,4.965,7.571
"dataset401",4.333,2.568,6.098
"dataset402",2.416,0.6605,4.171
"dataset403",6.253,3.827,8.679
"dataset404",1.156,-1.198,3.511
"dataset405",12.5,11.22,13.77
"dataset406",12.5,11.03,13.98
"dataset407",12.42,11.17,13.66
"dataset408",1.033,-1.313,3.379
"dataset409",1.019,-1.405,3.444
"dataset410",1.905,-0.3821,4.192
"dataset411",1.203,-1.133,3.539
"dataset412",13.84,12.33,15.34
"dataset413",12.47,11.34,13.6
"dataset414",12.52,11.03,14
"dataset415",6.201,4.723,7.68
"dataset416",5.901,4.381,7.42
"dataset417",6.277,4.711,7.843
"dataset418",6.352,4.736,7.968
"dataset419",6.307,4.69,7.923
"dataset420",1.47,-0.8364,3.776
"dataset421",11.36,10.19,12.52
"dataset422",6.244,4.97,7.519
"dataset423",11.48,10.12,12.85
"dataset424",6.181,4.408,7.955
"dataset425",1.08,-1.272,3.431
"dataset426",9.145,7.865,10.43
"dataset427",6.371,4.534,8.209
"dataset428",12.39,11.05,13.72
"dataset429",15.48,13.92,17.05
"dataset430",6.064,4.515,7.613
"dataset431",1.17,-1.168,3.508
"dataset432",10.31,8.594,12.02
"dataset433",1.7,-0.05971,3.46
"dataset434",6.197,4.684,7.711
"dataset435",12.48,11.14,13.82
"dataset436",12.52,10.92,14.13
"dataset437",2.406,-0.008241,4.819
"dataset438",17.56,15.6,19.51
"dataset439",7.295,5.636,8.954
"dataset440",6.188,4.428,7.947
"dataset441",1.684,-0.6328,4
"dataset442",6.526,4.727,8.325
"dataset443",1.176,-1.146,3.499
"dataset444",6.181,3.711,8.651
"dataset445",1.205,-0.5548,2.965
"dataset446",22.88,21.66,24.09
"dataset447",1.001,-1.4,3.402
"dataset448",12.13,10.66,13.6
"dataset449",6.278,4.821,7.735
"dataset450",6.214,4.721,7.706
"dataset451",14.47,12.52,16.42
"dataset452",2.142,-0.2635,4.548
"dataset453",1.311,-1.044,3.666
"dataset454",12.44,11.21,13.67
"dataset455",12.48,11.24,13.72
"dataset456",1.713,-0.5657,3.991
"dataset457",7.103,5.659,8.547
"dataset458",1.468,-0.8852,3.821
"dataset459",14.16,12.84,15.47
"dataset460",6.249,3.631,8.868
"dataset461",11.57,10.33,12.81
"dataset462",12.53,10.86,14.2
"dataset463",12.47,11.07,13.88
"dataset464",1.915,-0.4144,4.244
"dataset465",12.46,11.09,13.83
"dataset466",2.095,-0.2376,4.427
"dataset467",1.299,-1.133,3.731
"dataset468",12.22,10.73,13.7
"dataset469",6.296,4.885,7.708
"dataset470",7.395,6.074,8.716
"dataset471",6.213,4.718,7.709
"dataset472",12.4,10.96,13.84
"dataset473",4.838,3.06,6.615
"dataset474",1.469,-0.89,3.827
"dataset475",8.837,6.815,10.86
"dataset476",6.095,4.33,7.86
"dataset477",5.237,2.821,7.653
"dataset478",23.09,21.87,24.3
"dataset479",17.67,16.31,19.04
"dataset480",1.123,-1.18,3.427
"dataset481",6.37,4.774,7.965
"dataset482",1.807,-0.5042,4.119
"dataset483",2.315,0.5522,4.078
"dataset484",15.02,12.84,17.19
"dataset485",12.22,10.73,13.7
"dataset486",1.696,-0.7355,4.127
"dataset487",1.204,-1.11,3.518
"dataset488",12.56,11.08,14.05
"dataset489",16.1,14.36,17.83
"dataset490",6.257,3.78,8.733
"dataset491",9.655,8.195,11.11
"dataset492",6.247,4.682,7.812
"dataset493",12.39,10.57,14.22
"dataset494",12.48,10.8,14.15
"dataset495",1.068,-1.3,3.437
"dataset496",6.048,4.242,7.855
"dataset497",4.954,3.477,6.431
"dataset498",18.07,16.58,19.57
"dataset499",11.84,10.21,13.47
