"","NEC Cont","NEC Cat","BAYES NEC Cont","BAYES NEC cat","PW cont","PW cat","ROC Cont","ROC cat","EC5 Cont","EC5 cat"
"71",19.7843072070265,23.914959209086,24.1005312792145,14.1545986609953,9.905,15,40.2730206176106,36.12270983637,19.1751956355629,13.2761380682675
"72",21.3209391282555,21.3648154842867,17.1825306358131,4.06344755933525,14.71,2.643,43.4941745646183,37.314454155305,16.1564422523455,11.1335726780164
"73",24.3451002155671,18.9576789701325,17.9160253109531,2.57591917493345,7.931,18.97,36.409569697023,35.5647653026051,17.9943451828807,9.66553186720084
"74",24.9999976846115,23.6499840423426,9.57956518746235,23.12637577623,9.889,10.03,33.8555684004062,39.1825707050656,13.4783791299277,18.5895680316545
"75",19.8037403064552,18.318143005483,30.5427852780898,38.2619617046144,12.47,6.219,44.3569280227891,39.6380626750322,27.3665932873426,18.31110216133
"76",36.0827067463486,18.6244452290123,15.9097379269687,7.71121786359329,9.454,6.695,40.1060730056605,38.0039777176096,16.4809460258723,17.9075089997266
"77",24.9923271676037,25.0231691580311,20.4165996363426,31.3376074691487,2.55,6.254,49.9721540056587,36.7704884254235,11.0093338998605,12.240099464272
"78",21.9003740291595,39.1474441813963,19.5607790184482,0.00509873921417866,4.894,1.519,39.6415241319701,37.7334212434587,18.7159014650717,12.5907574008725
"79",23.9206720103854,20.9789847409476,20.2007258922599,1.53626839533639,6.564,17.69,42.2181117884219,39.336985979038,21.8546445886653,18.9932564822369
"80",18.5576097176605,18.7626126524911,17.7075914421819,24.2843682333618,3.897,1.435,43.5602492545361,35.3938537011081,20.3079682326248,7.83866895285705
"81",25.0056915087674,34.62588144498,21.6012142956686,1.26393069708044,7.927,21.17,36.9704136711479,41.8071948558617,18.5286789274976,20.5756329850241
"82",18.9737340756795,23.2479456108668,9.27904716791783,17.4132454224044,9.906,10.04,38.1960306755333,39.8425389296012,21.4349741051274,24.2281247023933
"83",19.8007428182574,22.2131325316652,13.396482955317,30.3620714521148,15.69,17.67,43.6768038096713,39.8997737128632,16.7530149475166,16.6026809315751
"84",15.713833878353,21.8065017525529,14.8656449409115,0.309957349295519,3.889,2.248,40.6130490689527,36.7896640843727,10.5062474074933,11.813774871695
"85",24.9838167971979,22.2236360876935,20.9286268267407,4.88000660322492,1.852,6.257,44.5134016650181,35.9484950196964,16.7816282776267,11.8183859650236
"86",15.7259841183787,19.6192896708843,21.836138700196,11.4411209372462,15.71,6.246,32.1788331281482,38.9456276207436,12.8555480476,15.7397601703347
"87",24.9991047046231,12.5207038106138,23.7240088070276,14.3702493944709,3.918,14.66,48.113568611424,38.7707506405329,27.9299851408167,17.3546354279165
"88",18.1472457333234,28.3485795472137,17.0773255957457,19.9460558721565,15.7,2.821,37.1269856143207,36.9186656436141,14.4167950776623,18.4014085914574
