"","Logistic CAT","NEC CAT","Pw CAT","Logistic CONT","NEC CONT","Pw CONT"
"dataset180",44.3013977870224,43.3558044015319,47.4249750678196,57.836505854546,54.6250273689771,NA
"dataset181",48.2985075771727,86.900665038831,49.9286839685663,49.610058374254,121.131493919696,NA
"dataset182",45.5774966348077,45.0333733093766,53.0368101298199,52.4717309240349,56.9631343098875,NA
"dataset183",50.7497114275962,49.8319404836948,52.5833900052829,52.3964410823619,147.150562605496,NA
"dataset184",53.3694124764853,150.272358326095,62.4558898017399,53.6620818059908,49.8984075870562,54.726302856491
"dataset185",48.6351295150041,139.382795953377,52.5923878014086,49.1521334863044,46.7709994863883,49.6802502224974
"dataset186",52.1503043290039,164.944950902404,NA,45.8397399032679,125.726437067751,47.1954754152892
"dataset187",47.9923727405919,169.010076170596,NA,45.7306160539093,45.9030311942543,53.0152757166012
"dataset188",45.3959691494334,42.9289276861821,NA,46.1534398686481,46.1149622334689,52.7855696615736
"dataset189",46.4927772099135,135.64650594844,49.7912235408191,46.6893141317652,45.9539646610036,47.6671036045071
"dataset190",46.9017743238461,43.368423462825,53.1517138497724,38.9645237151611,35.5721651782119,44.0924497035154
"dataset191",52.9862554807318,49.8459859267105,62.6053111355542,44.9841489321518,80.4896684922522,NA
"dataset192",49.4211010022312,50.2306738965596,NA,47.1759233626865,51.1142369125327,47.2539422726571
"dataset193",47.6515876057884,44.6347699680784,NA,39.6610675038507,36.1682223430237,NA
"dataset194",50.6352491501331,48.7671046047832,54.1025471084145,56.3000360078577,148.634437295541,65.2983715093105
"dataset195",53.0428598365867,54.7706520675176,52.9085711384052,58.3642415050956,62.8429579015177,63.7291863059966
"dataset196",46.6161351486361,46.0422273149966,50.4146758929731,53.0674562203662,49.406396619282,56.8126141832338
"dataset197",52.3938887316285,47.3710385518117,67.0090206879208,49.4538390930084,49.170628106171,54.0965023207157
"dataset198",53.9894331209326,52.6274290818576,58.8734469436033,39.4745036268749,35.3475042453801,47.145239235587
"dataset199",52.1835292068201,164.590556696078,63.9855053171979,46.0500063647551,43.6035901825007,NA
"dataset200",49.3300329390777,170.69510299038,54.847569529274,34.9992962693638,139.08949402666,NA
"dataset201",53.6390475994057,54.7789223825757,55.709403333209,48.6937786456988,45.6698291134256,52.1493870716515
"dataset202",31.5343059816298,32.9540468924649,36.5261098063099,46.231149245022,46.1481005350536,45.9538841042602
"dataset203",53.6869009284622,141.775956238552,NA,50.4346978561282,63.9719811597662,52.1999399069526
"dataset204",49.6284310199418,47.4121487504039,NA,44.6820466972648,147.598370944459,45.7328105420452
"dataset205",54.7202622247925,63.5061317722652,NA,37.6849978620183,38.317931888556,NA
"dataset206",40.0764937314692,40.0764411281709,39.6110622487807,41.5907204326811,140.583733913505,46.9576404129911
"dataset207",49.8629920631849,48.6027038139864,58.3873248958375,47.3927594696406,49.2587937103341,NA
"dataset208",46.167027336225,151.81549010622,NA,44.2278680428986,132.748909690507,44.8453723683554
"dataset209",44.5855446468799,55.4049184961316,NA,54.1475101348785,53.0730753537418,53.2078522212075
"dataset210",54.5386877390871,131.405978876064,57.2183378648166,48.451763770619,46.5022049915814,53.5691971617995
"dataset211",55.1691509988523,152.799191025216,NA,38.8741867482622,41.8329506349058,NA
"dataset212",49.3428215899498,45.1908643778184,54.787307968986,61.8542733888351,57.7164059572769,NA
"dataset213",49.0066728076103,46.7501128314738,55.6383764818581,56.3885169587087,54.4409051508892,60.2477827361571
"dataset214",49.7892961444535,49.5774947904029,53.9578412564512,57.3554452028049,60.098745384743,NA
"dataset215",45.0970496864179,44.7469368515993,NA,50.7936740680264,47.4246609991169,NA
"dataset216",40.0165841468857,38.889690708715,47.0305485815497,35.2739696340092,122.967099475762,39.9587812509428
"dataset217",49.7695230640692,48.6381733247816,NA,53.5088133572037,53.1266692969,57.0893911388837
"dataset218",46.1668648801804,168.280789943403,40.8233790136771,32.8889635423428,39.4309163278104,37.1778273407441
"dataset219",51.232876129049,132.698553805281,54.5925733729377,47.3884051371035,126.732600103357,47.830201929815
"dataset220",56.7289983072814,151.956764095064,60.9087135050093,52.7203043603675,50.9642778913758,54.6156607813907
"dataset221",57.1879690896154,57.1217392517473,NA,51.6486377738373,161.982593973001,NA
"dataset222",49.019090311524,61.4805697727615,51.7648165412179,56.0103050442656,53.5507754309204,56.5536630100927
"dataset223",39.5116245582485,151.725420942798,43.5434151573943,40.6138827383078,80.1180077203704,40.863853191002
"dataset224",48.6293448371803,51.2410977885006,47.8622665962997,28.765842584316,28.6355734780155,36.3464611938645
"dataset225",46.3577462736382,43.5568421594895,NA,51.5422617856016,51.2716884236672,52.6547524492175
"dataset226",47.7818015113494,47.6078888311332,NA,52.7475056154223,49.0741237547172,58.1904451054903
"dataset227",42.4759266537574,42.0297098277524,NA,45.5832220766321,42.730400529261,48.4012078941841
"dataset228",51.8495216264969,160.416712592577,NA,52.8712955467823,51.7821015219972,53.3708854933389
"dataset229",40.6628391565299,39.4190563643201,49.2813069491888,44.0879642781312,41.9468450883228,NA
"dataset230",55.1175753560541,146.473658948665,63.8453451339895,20.7789001251116,20.3276213336264,NA
"dataset231",51.9264352490419,51.6823433149335,54.575707649777,41.5659623618125,46.8890191868153,40.0853753618716
"dataset232",52.0645694214099,50.0878517487878,58.6332087277337,31.5602258301269,32.9843878066335,NA
"dataset233",47.7545587571663,46.7982283574909,NA,62.8464780352146,59.1554985781572,65.003217627085
"dataset234",46.5374673816253,133.82326580092,NA,42.2465877069022,42.0453294178524,NA
"dataset235",46.6648200798542,45.6036051444735,NA,47.0825058269106,43.6213463296986,52.6345793731157
